Date,Team,Opposition,Ground,10-Runs,10-Wkts,50-Runs,50-Wkts,Result,Above-300
24-Jun-15,India,v Bangladesh,Dhaka,61,1,317,6,1,1
21-Jun-15,India,v Bangladesh,Dhaka,65,1,200,10,0,0
20-Jun-15,New Zealand,v England,Chester-le-Street,59,1,283,9,0,0
18-Jun-15,Bangladesh,v India,Dhaka,79,0,307,10,1,1
17-Jun-15,New Zealand,v England,Nottingham,64,0,349,7,0,1
14-Jun-15,England,v New Zealand,Southampton,41,2,302,10,0,1
12-Jun-15,New Zealand,v England,The Oval,77,1,398,5,1,1
9-Jun-15,England,v New Zealand,Birmingham,68,2,408,9,1,1
29-May-15,Zimbabwe,v Pakistan,Lahore,43,0,268,7,0,0
26-May-15,Pakistan,v Zimbabwe,Lahore,47,0,375,3,1,1
22-Apr-15,Pakistan,v Bangladesh,Dhaka,58,0,250,10,0,0
19-Apr-15,Pakistan,v Bangladesh,Dhaka,37,2,239,6,0,0
17-Apr-15,Bangladesh,v Pakistan,Dhaka,44,0,329,6,1,1
29-Mar-15,New Zealand,v Australia,Melbourne,31,1,183,10,0,0
26-Mar-15,Australia,v India,Sydney,56,1,328,7,1,1
24-Mar-15,South Africa,v New Zealand,Auckland,39,2,281,5,0,0
21-Mar-15,New Zealand,v West Indies,Wellington,63,1,393,6,1,1
20-Mar-15,Pakistan,v Australia,Adelaide,37,2,213,10,0,0
19-Mar-15,India,v Bangladesh,Melbourne,51,0,302,6,1,1
18-Mar-15,Sri Lanka,v South Africa,Sydney,35,2,133,10,0,0
15-Mar-15,Ireland,v Pakistan,Adelaide,47,1,237,10,0,0
15-Mar-15,U.A.E.,v West Indies,Napier,31,5,175,10,0,0
14-Mar-15,Scotland,v Australia,Hobart,49,3,130,10,0,0
14-Mar-15,Zimbabwe,v India,Auckland,27,2,287,10,0,0
13-Mar-15,Bangladesh,v New Zealand,Hamilton,29,2,288,7,0,0
12-Mar-15,South Africa,v U.A.E.,Wellington,61,1,341,6,1,1
11-Mar-15,Sri Lanka,v Scotland,Hobart,46,1,363,9,1,1
10-Mar-15,Ireland,v India,Hamilton,60,0,259,10,0,0
9-Mar-15,Bangladesh,v England,Adelaide,32,2,275,7,1,0
8-Mar-15,Australia,v Sri Lanka,Sydney,49,2,376,9,1,1
8-Mar-15,Afghanistan,v New Zealand,Napier,33,3,186,10,0,0
7-Mar-15,Ireland,v Zimbabwe,Hobart,41,1,331,8,1,1
7-Mar-15,Pakistan,v South Africa,Auckland,35,1,222,10,1,0
6-Mar-15,West Indies,v India,Perth,38,4,182,10,0,0
5-Mar-15,Scotland,v Bangladesh,Nelson,39,2,318,8,0,1
4-Mar-15,Australia,v Afghanistan,Perth,68,1,417,6,1,1
4-Mar-15,Pakistan,v U.A.E.,Napier,41,1,339,6,1,1
3-Mar-15,South Africa,v Ireland,Canberra,57,1,411,4,1,1
1-Mar-15,Pakistan,v Zimbabwe,Brisbane,14,2,235,7,1,0
1-Mar-15,England,v Sri Lanka,Wellington,62,1,309,6,0,1
28-Feb-15,U.A.E.,v India,Perth,28,2,102,10,0,0
28-Feb-15,Australia,v New Zealand,Auckland,68,1,151,10,0,0
27-Feb-15,South Africa,v West Indies,Sydney,30,1,408,5,1,1
26-Feb-15,Sri Lanka,v Bangladesh,Melbourne,51,0,332,1,1,1
26-Feb-15,Scotland,v Afghanistan,Dunedin,38,1,210,10,0,0
25-Feb-15,U.A.E.,v Ireland,Brisbane,44,0,278,9,0,0
24-Feb-15,West Indies,v Zimbabwe,Canberra,43,1,372,2,1,1
23-Feb-15,England,v Scotland,Christchurch,58,0,303,8,1,1
22-Feb-15,India,v South Africa,Melbourne,36,1,307,7,1,1
22-Feb-15,Afghanistan,v Sri Lanka,Dunedin,40,2,232,10,0,0
21-Feb-15,West Indies,v Pakistan,Christchurch,46,2,310,6,1,1
20-Feb-15,England,v New Zealand,Wellington,43,2,123,10,0,0
19-Feb-15,U.A.E.,v Zimbabwe,Nelson,34,1,285,7,0,0
18-Feb-15,Bangladesh,v Afghanistan,Canberra,38,0,267,10,1,0
17-Feb-15,Scotland,v New Zealand,Dunedin,22,4,142,10,0,0
16-Feb-15,West Indies,v Ireland,Nelson,40,2,304,7,0,1
